2024-10-09 17:23:23, BPM: 0, SpO2: 0
2024-10-09 17:23:26, BPM: 0, SpO2: 0
2024-10-09 17:23:26, BPM: 78.0, SpO2: 93.8034
2024-10-09 17:23:27, BPM: 80.5, SpO2: 93.8034
2024-10-09 17:23:27, BPM: 83.0, SpO2: 96.157416
2024-10-09 17:23:27, BPM: 83.0, SpO2: 96.157416
2024-10-09 17:23:27, BPM: 83.0, SpO2: 96.157416
2024-10-09 17:23:27, BPM: 83.0, SpO2: 96.157416
2024-10-09 17:23:30, BPM: 83.0, SpO2: 21.758250000000004
2024-10-09 17:23:33, BPM: 137.5, SpO2: 90.872616
2024-10-09 17:23:36, BPM: 139.5, SpO2: 98.116266
2024-10-09 17:23:50, BPM: 0, SpO2: 0
2024-10-09 17:23:53, BPM: 0, SpO2: 0
2024-10-09 17:23:56, BPM: 0, SpO2: 0
2024-10-09 17:23:59, BPM: 0, SpO2: 0
2024-10-09 17:24:02, BPM: 0, SpO2: 0
2024-10-09 17:24:27, BPM: 0, SpO2: 0
2024-10-09 17:24:30, BPM: 0, SpO2: 0
2024-10-09 17:24:30, BPM: 50.25, SpO2: 98.752554
2024-10-09 17:24:33, BPM: 69.0, SpO2: 71.26890599999999
2024-10-09 17:24:33, BPM: 93.0, SpO2: 98.500104
2024-10-09 17:24:33, BPM: 91.75, SpO2: 97.802616
2024-10-09 17:24:33, BPM: 88.0, SpO2: 97.802616
2024-10-09 17:24:33, BPM: 91.0, SpO2: 97.802616
2024-10-09 17:24:33, BPM: 100.0, SpO2: 97.802616
2024-10-09 17:24:34, BPM: 97.0, SpO2: 97.802616
2024-10-09 17:24:34, BPM: 88.0, SpO2: 97.802616
2024-10-09 17:24:34, BPM: 88.0, SpO2: 97.802616
2024-10-09 17:24:34, BPM: 88.0, SpO2: 97.802616
2024-10-09 17:24:34, BPM: 85.5, SpO2: 99.016626
2024-10-09 17:24:34, BPM: 80.5, SpO2: 99.712434
2024-10-09 17:24:34, BPM: 81.75, SpO2: 99.24465
2024-10-09 17:24:34, BPM: 93.0, SpO2: 99.24465
2024-10-09 17:24:34, BPM: 93.0, SpO2: 99.24465
2024-10-09 17:24:34, BPM: 90.5, SpO2: 99.24465
2024-10-09 17:24:35, BPM: 88.0, SpO2: 99.24465
2024-10-09 17:24:35, BPM: 86.75, SpO2: 97.3998
2024-10-09 17:24:35, BPM: 76.5, SpO2: 90.46571399999999
2024-10-09 17:24:38, BPM: 70.5, SpO2: 84.879954
2024-10-09 17:24:38, BPM: 83.0, SpO2: 99.43662599999999
2024-10-09 17:24:38, BPM: 83.0, SpO2: 99.43662599999999
2024-10-09 17:24:38, BPM: 83.0, SpO2: 99.43662599999999
2024-10-09 17:24:38, BPM: 83.0, SpO2: 99.43662599999999
2024-10-09 17:24:38, BPM: 72.5, SpO2: 99.43662599999999
2024-10-09 17:24:38, BPM: 61.75, SpO2: 98.452434
2024-10-09 17:24:39, BPM: 58.5, SpO2: 98.752554
2024-10-09 17:24:51, BPM: 0, SpO2: 0
2024-10-09 17:44:41, BPM: 0, SpO2: 0
2024-10-09 17:45:59, BPM: 0, SpO2: 0
2024-10-09 17:47:36, BPM: 0, SpO2: 0
2024-10-09 17:47:39, BPM: 0, SpO2: 0
2024-10-09 17:47:42, BPM: 0, SpO2: 0
2024-10-09 17:47:42, BPM: 93.0, SpO2: 97.54442399999999
2024-10-09 17:47:45, BPM: 98.25, SpO2: 88.747986
2024-10-09 17:47:48, BPM: 171.25, SpO2: 99.831474
2024-10-09 17:50:54, BPM: 0, SpO2: 0
2024-10-09 17:50:57, BPM: 0, SpO2: 0
2024-10-09 17:51:00, BPM: 0, SpO2: 0
2024-10-09 17:51:03, BPM: 0, SpO2: 0
2024-10-09 17:51:07, BPM: 0, SpO2: 0
2024-10-09 17:51:19, BPM: 0, SpO2: 0
2024-10-09 17:51:22, BPM: 0, SpO2: 0
2024-10-09 17:51:25, BPM: 0, SpO2: 0
2024-10-09 17:51:28, BPM: 0, SpO2: 0
2024-10-09 17:51:56, BPM: 0, SpO2: 0
2024-10-09 17:51:59, BPM: 0, SpO2: 0
2024-10-09 17:51:59, BPM: 31.25, SpO2: 99.135144
2024-10-09 17:51:59, BPM: 34.5, SpO2: 99.135144
2024-10-09 17:51:59, BPM: 34.0, SpO2: 99.135144
2024-10-09 17:51:59, BPM: 38.0, SpO2: 99.135144
2024-10-09 17:52:02, BPM: 131.5, SpO2: 99.674706
2024-10-09 17:52:02, BPM: 100.0, SpO2: 99.727416
2024-10-09 17:52:02, BPM: 100.0, SpO2: 99.727416
2024-10-09 17:52:02, BPM: 100.0, SpO2: 99.727416
2024-10-09 17:52:03, BPM: 98.25, SpO2: 92.03925
2024-10-09 17:52:03, BPM: 93.0, SpO2: 92.03925
2024-10-09 17:52:03, BPM: 93.0, SpO2: 92.03925
2024-10-09 17:52:03, BPM: 93.0, SpO2: 92.03925
2024-10-09 17:52:03, BPM: 93.0, SpO2: 92.03925
2024-10-09 17:52:03, BPM: 91.75, SpO2: 99.727416
2024-10-09 17:52:03, BPM: 89.25, SpO2: 99.727416
2024-10-09 17:52:03, BPM: 88.0, SpO2: 99.727416
2024-10-09 17:52:03, BPM: 88.0, SpO2: 99.727416
2024-10-09 17:52:03, BPM: 88.0, SpO2: 99.727416
2024-10-09 17:52:04, BPM: 88.0, SpO2: 98.752554
2024-10-09 17:52:04, BPM: 86.75, SpO2: 98.752554
2024-10-09 17:52:04, BPM: 84.25, SpO2: 98.752554
2024-10-09 17:52:04, BPM: 83.0, SpO2: 96.157416
2024-10-09 17:52:04, BPM: 83.0, SpO2: 96.157416
2024-10-09 17:52:04, BPM: 72.5, SpO2: 96.157416
2024-10-09 17:52:04, BPM: 72.5, SpO2: 97.74405
2024-10-09 17:52:04, BPM: 83.0, SpO2: 99.674706
2024-10-09 17:52:04, BPM: 83.0, SpO2: 99.855786
2024-10-09 17:52:05, BPM: 83.0, SpO2: 99.855786
2024-10-09 17:52:05, BPM: 87.25, SpO2: 99.855786
2024-10-09 17:52:05, BPM: 95.0, SpO2: 99.855786
2024-10-09 17:52:08, BPM: 107.0, SpO2: 99.855786
2024-10-09 17:52:24, BPM: 0, SpO2: 0
2024-10-09 17:52:27, BPM: 0, SpO2: 0
2024-10-09 17:52:30, BPM: 0, SpO2: 0
2024-10-09 17:52:30, BPM: 76.5, SpO2: 95.622984
2024-10-09 17:52:30, BPM: 83.0, SpO2: 99.824664
2024-10-09 17:52:30, BPM: 100.0, SpO2: 98.33924999999999
2024-10-09 17:52:33, BPM: 153.0, SpO2: 95.622984
2024-10-09 17:52:33, BPM: 88.0, SpO2: 99.674706
2024-10-09 17:52:33, BPM: 88.0, SpO2: 99.674706
2024-10-09 17:52:34, BPM: 88.0, SpO2: 99.674706
2024-10-09 17:52:34, BPM: 88.0, SpO2: 99.674706
2024-10-09 17:52:34, BPM: 88.0, SpO2: 99.674706
2024-10-09 17:52:34, BPM: 88.0, SpO2: 99.674706
2024-10-09 17:52:34, BPM: 88.0, SpO2: 97.934664
2024-10-09 17:52:34, BPM: 71.5, SpO2: 97.934664
2024-10-09 17:52:34, BPM: 55.0, SpO2: 97.934664
2024-10-09 17:52:34, BPM: 55.0, SpO2: 97.934664
2024-10-09 17:52:34, BPM: 74.75, SpO2: 96.411114
2024-10-09 17:52:34, BPM: 79.25, SpO2: 96.411114
2024-10-09 17:52:35, BPM: 78.0, SpO2: 96.411114
2024-10-09 17:52:35, BPM: 78.0, SpO2: 96.411114
2024-10-09 17:52:35, BPM: 78.0, SpO2: 96.411114
2024-10-09 17:52:35, BPM: 90.75, SpO2: 92.771946
2024-10-09 17:52:35, BPM: 100.0, SpO2: 92.771946
2024-10-09 17:52:38, BPM: 101.75, SpO2: 90.46571399999999
2024-10-09 17:52:44, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:44, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:44, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:44, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:44, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:44, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:44, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:44, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:45, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:45, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:45, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:45, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:45, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:45, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:45, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:45, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:45, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:45, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:46, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:46, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:46, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:46, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:46, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:46, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:46, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:46, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:46, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:46, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:47, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:47, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:47, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:47, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:47, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:47, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:47, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:47, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:47, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:47, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:48, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:48, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:48, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:48, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:48, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:48, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:48, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:48, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:48, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:48, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:49, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:49, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:49, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:49, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:49, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:49, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:49, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:49, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:49, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:49, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:50, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:50, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:50, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:50, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:50, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:50, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:50, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:50, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:50, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:50, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:51, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:51, BPM: 83.5, SpO2: 99.345144
2024-10-09 17:52:54, BPM: 100.0, SpO2: 89.62487399999999
2024-10-09 17:52:57, BPM: 84.25, SpO2: 81.02229599999998
2024-10-09 17:52:57, BPM: 83.0, SpO2: 99.462504
2024-10-09 17:52:57, BPM: 78.0, SpO2: 99.462504
2024-10-09 17:52:57, BPM: 78.5, SpO2: 99.462504
2024-10-09 17:52:57, BPM: 77.0, SpO2: 99.462504
2024-10-09 17:52:57, BPM: 79.5, SpO2: 99.135144
2024-10-09 17:52:57, BPM: 93.0, SpO2: 99.135144
2024-10-09 17:52:58, BPM: 91.75, SpO2: 99.462504
2024-10-09 17:52:58, BPM: 81.5, SpO2: 99.462504
2024-10-09 17:52:58, BPM: 75.0, SpO2: 99.462504
2024-10-09 17:52:58, BPM: 75.0, SpO2: 99.462504
2024-10-09 17:52:58, BPM: 75.75, SpO2: 99.135144
2024-10-09 17:52:58, BPM: 75.75, SpO2: 99.758856
2024-10-09 17:52:58, BPM: 75.75, SpO2: 99.855786
2024-10-09 17:52:58, BPM: 83.0, SpO2: 99.855786
